City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
195,ekhabi,RU,26.87,53.5102,142.9671,The Sebel Kiama Harbourside
196,tukrah,LY,71.37,32.5341,20.5791,Postoyalyy Dvor
197,sidi ali,DZ,76.41,36.0998,0.4206,"Holiday Inn Express Antofagasta, an IHG Hotel"
198,hasaki,JP,60.22,35.7333,140.8333,Skreda Rorbusuiter
199,tuatapere,NZ,48.07,-46.1333,167.6833,Friendly Mini-Hotel
200,kheralu,IN,76.66,23.8833,72.6167,Hotel Santa Cruz
201,sovetskiy,RU,32.65,61.3614,63.5842,The Esplanade Resort & Spa
202,iskateley,RU,32.4,67.6803,53.1512,Kingsgate Hotel Te Anau
203,katsuura,JP,66.18,35.1333,140.3,Taloa Heights
204,valpacos,PT,60.17,41.6075,-7.3109,Busta House Hotel
205,la ronge,CA,37.65,55.1001,-105.2842,VS Villa
206,hilo,US,73.62,19.7297,-155.09,Pirineos
207,banyo,CM,67.64,6.75,11.8167,Hotel Arctic
208,ostrovnoy,RU,35.89,68.0531,39.5131,Scandic Hotel Simonkenttä
209,mayo,US,66.61,38.8876,-76.5119,Hotel San Isidro Oficial
212,tasiilaq,GL,32.16,65.6145,-37.6368,Vahmoneh Lodge Vanimo
213,carauari,BR,74.26,-4.8828,-66.8958,Leumerus Bungalows
214,havre-saint-pierre,CA,53.96,50.2334,-63.5986,Хостел Северяночка
215,marfino,RU,43.09,55.7028,37.3822,Hotel Panchavati Sangamner
216,qaanaaq,GL,22.6,77.484,-69.3632,"Radisson Blu Polar Hotel, Spitsbergen"
218,clarence town,AU,64.94,-32.5833,151.7833,Tanna Lodge
220,igarka,RU,27.03,67.4667,86.5833,Hotel San Juan
221,turmalina,BR,68.72,-17.2856,-42.73,Tosklivyy Dom
223,leningradskiy,RU,21.11,69.3833,178.4167,Frobisher Inn
225,ancud,CL,49.78,-41.8697,-73.8203,Airport Inn-Port Hardy
229,saint anthony,US,73.65,45.0205,-93.218,chandan jyoti borah
230,linqing,CN,54.91,36.8456,115.7117,Best Western Plus Abbey Inn
231,presque isle,US,68.29,46.6811,-68.0159,Select Inn Breckenridge
235,praia da vitoria,PT,66.76,38.7333,-27.0667,Jiugang Hotel - Jiayuguan
236,shache,CN,56.14,38.4167,77.2406,Mercure Padang
238,temba,ZA,76.1,-25.3803,28.2631,"Gostinitsa ""Kolos"""
240,husavik,IS,33.53,66.0449,-17.3389,Desert Gardens Hotel - Ayers Rock Resort
242,kiama,AU,63.37,-34.6833,150.8667,Marriott's Ko Olina Beach Club
243,tevriz,RU,28.9,57.509,72.4042,Château Madelinot
244,antofagasta,CL,61.88,-23.65,-70.4,El Medina
246,gravdal,NO,39.58,68.1214,13.5031,Haitian Hotel
247,poykovskiy,RU,30.49,61.2333,73.3333,Orient Apartments
248,rio gallegos,AR,68.05,-51.6226,-69.2181,Shangping Shuyuan Inn
249,lakes entrance,AU,56.16,-37.8811,147.981,Backpacker`s Hostel Iquique
250,te anau,NZ,51.17,-45.4167,167.7167,Econo Lodge Inn & Suites
251,alofi,NU,73.29,-19.0595,-169.9187,Ахмадын амралт сувилал
252,brae,GB,51.51,60.3964,-1.353,Diego De Almagro Coyhaique
254,kalmunai,LK,78.48,7.4167,81.8167,Shingu UI Hotel
255,san cristobal,VE,78.98,7.7669,-72.225,Ooo.khim Baza
256,ilulissat,GL,33.82,69.2167,-51.1,فندق المدينة
258,helsinki,FI,43.11,60.1695,24.9355,Kimbo Hotel
261,pisco,PE,66.25,-13.7,-76.2167,ibis Styles Karratha
263,bose,IT,62.29,45.4612,8.0137,Shanchengxuan Hotel
264,vavatenina,MG,69.53,-17.4667,49.2,Agan-Hotel
265,vanimo,PG,77.23,-2.6741,141.3028,Gostinitsa
266,sola,VU,76.87,-13.8833,167.55,Hotel Briliá
267,loukhi,RU,35.91,66.0764,33.0381,Hotel Moryana
268,sangamner,IN,67.69,19.5667,74.2167,Lakeview Gimli Resort
270,ndola,ZM,74.48,-12.9587,28.6366,Bora-Bora Pearl Beach Resort & Spa
271,isangel,VU,73.02,-19.55,169.2667,Footscray Motor Inn
272,bambous virieux,MU,73.65,-20.3428,57.7575,The Hamsa Resort
274,selikhino,RU,31.15,50.3672,137.4996,Westmark Sitka
275,kasongo-lunda,CD,79.54,-6.4667,16.8167,Gostinitsa
277,iqaluit,CA,31.73,63.7506,-68.5145,Algys
278,marsa matruh,EG,70.02,31.3525,27.2453,Howard Johnson by Wyndham Modesto Ceres
279,port hardy,CA,42.98,50.6996,-127.4199,Гостиница «Уют»
281,marau,BR,73.15,-28.4492,-52.2,Hotel Luta Resort
282,fort nelson,CA,24.94,58.8053,-122.7002,Urban Style by Front One
283,liaoyang,CN,30.52,41.2719,123.1731,Royal Garden Hotel
284,barpathar,IN,71.56,26.3,93.8667,Pereybere Hotel & Spa
287,wahpeton,US,70.52,46.2652,-96.6059,Hotel Los Andes
289,barabai,ID,74.32,-2.5833,115.3833,Nebitchi Hotel
290,goderich,CA,71.92,43.7501,-81.7165,Hampton Inn & Suites Lebanon
291,jiayuguan,CN,46.81,39.8167,98.3,Guest-House na Transportnoy
292,padang,ID,75.25,-0.9492,100.3543,Snow's Cove Lodge
294,znamenskoye,RU,29.64,57.1281,73.8282,Best Western Pahrump Oasis
296,toora-khem,RU,33.1,52.4675,96.11,Hostel Comodoro
298,yulara,AU,67.46,-25.2406,130.9889,39 On Nile Guest House
299,berlevag,NO,39.15,70.8578,29.0864,Chez Dydyce Guesthouse
301,makakilo city,US,73.62,21.3469,-158.0858,Hawaiian Princess Resort
304,cap-aux-meules,CA,59.05,47.3821,-61.8597,TownePlace Suites by Marriott Pocatello
305,nouadhibou,MR,71.58,20.931,-17.0347,Glynmill Inn
306,kedrovyy,RU,30.87,56.1667,91.8167,Shelly Bay Resort
307,bozhou,CN,59.63,33.8772,115.7703,"""Ақпалас"" қонақ үйі"
308,nizwa,OM,78.42,22.9333,57.5333,Samyang Beach Villa
309,jiangyou,CN,64.94,31.7667,104.7167,Toyoko Inn Oita Nakatsu Ekimae
310,iquique,CL,62.64,-20.2208,-70.1431,Seljord Hotell
312,baruun-urt,MN,34.56,46.6806,113.2792,Casa Das Faias
313,coihaique,CL,56.01,-45.5752,-72.0662,Grand Hotel President
314,aksu,CN,55.29,41.1231,80.2644,"Gostinitsa ""Domashniy Ochag"""
316,shingu,JP,58.21,33.7333,135.9833,Valle Escondido Resort Golf & Spa
317,derzhavinsk,KZ,32.49,51.1,66.3167,Mantra Nelson Bay
318,surt,LY,71.58,31.2089,16.5887,Crossroads Hotel
321,vandavasi,IN,74.86,12.5,79.6167,HOTEL MONAD
323,luau,AO,69.35,-10.7073,22.2247,Rechnaya Dolina
324,chicama,PE,61.34,-7.8447,-79.1469,Ikathouse
325,skibotn,NO,32.67,69.3913,20.2679,Hotel Restaurant Reichsadler
326,karratha,AU,71.92,-20.7377,116.8463,Welcome
328,yuxia,CN,69.71,34.0615,108.6291,Hotel Italiano
329,kismayo,SO,78.08,-0.3582,42.5454,"Гостиница ""Comfort"""
331,cherskiy,RU,11.19,68.75,161.3,استراحة الشارب العائلي
332,chimbote,PE,66.79,-9.0853,-78.5783,Hotel Kou-Bugny
333,khazar,RU,57.33,41.9974,48.3332,W Łęgu Natury Noclegi Pensjonat
335,gimli,CA,46.42,50.6336,-96.9907,Ramkota Hotel
338,wattegama,LK,75.22,6.7989,81.4808,HOTEL TOPAZIO
339,faanui,PF,78.98,-16.4833,-151.75,"Casa Laguna, Bed & Breakfast"
340,seddon,AU,58.3,-37.8068,144.8916,Vila Nova Hotel
341,banjar,ID,77.4,-8.19,114.9675,Bushido Lodge
344,sitka,US,46.29,57.0531,-135.33,Ephira Hotel
345,aleksandrov gay,RU,41.95,50.147,48.5704,Fengshui Residence
346,lata,PT,63.81,40.1629,-8.3327,BON Hotel Waterfront Richards Bay
347,amga,RU,14.13,60.8953,131.9608,Abaco Beach Resort
348,ceres,US,61.12,37.5949,-120.9577,Hotel Miramar
349,peleduy,RU,39.06,59.6289,112.7406,Lamana Hotel (Port Moresby)
351,dalvik,IS,33.73,65.9702,-18.5286,Lovers Point Inn
352,rantepao,ID,67.32,-2.9701,119.8978,Days Inn by Wyndham Eufaula AL
353,pringsewu,ID,73.6,-5.3582,104.9744,Super 8 by Wyndham Hurricane Zion National Park
354,jumla,NP,43.63,29.2747,82.1838,Hotel Alsey Krasnoyarsk
355,cap malheureux,MU,72.46,-19.9842,57.6142,SEGAYA PROPERTY
356,egvekinot,RU,12.04,66.3167,-179.1667,Pemberton Valley Lodge
358,yabrud,SY,58.06,33.9674,36.6574,Le Monitel
359,los andes,CL,79.02,-32.8337,-70.5983,Hotel Route Inn Niigata Kencho Minami
360,yerbogachen,RU,44.1,61.2767,108.0108,Artist Residence Penzance
362,balkanabat,TM,63.1,39.5108,54.3671,Parkside Inn
365,lebanon,US,78.12,36.2081,-86.2911,Hospitality Esperance
366,pudozh,RU,39.02,61.8099,36.5345,Marumatta Farm 21
367,ketchikan,US,43.27,55.3422,-131.6461,فندق قاعود
369,irtyshskiy,RU,29.93,58.3333,68.1333,خوابگاه
370,pahrump,US,57.49,36.2083,-115.9839,Guest House HESADA
371,santo tirso,PT,64.09,41.3426,-8.4775,La Case Bambou
372,santa vitoria do palmar,BR,63.88,-33.5189,-53.3681,"Zhetysu, Too Zhetysu"
373,heihe,CN,25.38,50.2441,127.4902,المعلق حسان رزاق
374,port elizabeth,ZA,69.1,-33.918,25.5701,Gostinitsa Na Sovetskoy
375,fayaoue,NC,74.53,-20.65,166.5333,Highpoint International Hotel
376,faya,SA,64.51,18.3851,42.4509,Jinjiang Inn Zhoushan Putuo Shenjiamen
377,makaha,US,75.06,21.4694,-158.2175,Hotel Arrarte
378,severnyy-kospashskiy,RU,31.6,59.0925,57.8008,Hotel Capriccio Mauá
380,pocatello,US,36.18,42.8713,-112.4455,Le Manotel
381,corner brook,CA,59.16,48.9667,-57.9484,Trolltun Gjestegård
382,hervey bay,AU,68.02,-25.2986,152.8535,Super 8 by Wyndham Fortuna
385,zhanakorgan,KZ,45.81,43.9098,67.2495,Hotel On The Rock by Prasanthi
386,kijang,KR,53.33,35.2442,129.2139,"""Dārza Māja"""
387,nakatsu,JP,62.49,33.5981,131.1883,Motel' Mosha
389,ndende,GA,75.18,-2.4008,11.3581,Castle Motor Lodge Motel
